,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
0,9.0,data9,Access to green space,E06000001,Hartlepool,107.4518,107.4518,107.4518,107.4518,107.4518,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
14,9.0,data9,Access to green space,E06000002,Middlesbrough,106.966,106.966,106.966,106.966,106.966,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
28,9.0,data9,Access to green space,E06000003,Redcar and Cleveland,106.8196,106.8196,106.8196,106.8196,106.8196,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
42,9.0,data9,Access to green space,E06000004,Stockton-on-Tees,105.8667,105.8667,105.8667,105.8667,105.8667,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
56,9.0,data9,Access to green space,E06000005,Darlington,104.9263,104.9263,104.9263,104.9263,104.9263,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
70,9.0,data9,Access to green space,E06000006,Halton,109.5585,109.5585,109.5585,109.5585,109.5585,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
84,9.0,data9,Access to green space,E06000007,Warrington,107.7077,107.7077,107.7077,107.7077,107.7077,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
98,9.0,data9,Access to green space,E06000008,Blackburn with Darwen,106.7782,106.7782,106.7782,106.7782,106.7782,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
112,9.0,data9,Access to green space,E06000009,Blackpool,103.2892,103.2892,103.2892,103.2892,103.2892,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
126,9.0,data9,Access to green space,E06000010,"Kingston upon Hull, City of",102.1573,102.1573,102.1573,102.1573,102.1573,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
140,9.0,data9,Access to green space,E06000011,East Riding of Yorkshire,97.03672,97.03672,97.03672,97.03672,97.03672,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
154,9.0,data9,Access to green space,E06000012,North East Lincolnshire,101.466,101.466,101.466,101.466,101.466,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
168,9.0,data9,Access to green space,E06000013,North Lincolnshire,96.76756,96.76756,96.76756,96.76756,96.76756,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
182,9.0,data9,Access to green space,E06000014,York,101.8728,101.8728,101.8728,101.8728,101.8728,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
196,9.0,data9,Access to green space,E06000015,Derby,103.838,103.838,103.838,103.838,103.838,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
210,9.0,data9,Access to green space,E06000016,Leicester,101.9703,101.9703,101.9703,101.9703,101.9703,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
224,9.0,data9,Access to green space,E06000017,Rutland,90.49371,90.49371,90.49371,90.49371,90.49371,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
238,9.0,data9,Access to green space,E06000018,Nottingham,99.05155,99.05155,99.05155,99.05155,99.05155,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
252,9.0,data9,Access to green space,E06000019,"Herefordshire, County of",96.36047,96.36047,96.36047,96.36047,96.36047,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
266,9.0,data9,Access to green space,E06000020,Telford and Wrekin,106.8606,106.8606,106.8606,106.8606,106.8606,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
280,9.0,data9,Access to green space,E06000021,Stoke-on-Trent,114.7095,114.7095,114.7095,114.7095,114.7095,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
294,9.0,data9,Access to green space,E06000022,Bath and North East Somerset,98.45908,98.45908,98.45908,98.45908,98.45908,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
308,9.0,data9,Access to green space,E06000023,"Bristol, City of",102.7642,102.7642,102.7642,102.7642,102.7642,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
322,9.0,data9,Access to green space,E06000024,North Somerset,95.72029,95.72029,95.72029,95.72029,95.72029,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
336,9.0,data9,Access to green space,E06000025,South Gloucestershire,100.8258,100.8258,100.8258,100.8258,100.8258,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
350,9.0,data9,Access to green space,E06000026,Plymouth,102.1567,102.1567,102.1567,102.1567,102.1567,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
364,9.0,data9,Access to green space,E06000027,Torbay,104.5576,104.5576,104.5576,104.5576,104.5576,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
378,9.0,data9,Access to green space,E06000030,Swindon,101.9213,101.9213,101.9213,101.9213,101.9213,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
392,9.0,data9,Access to green space,E06000031,Peterborough,103.9037,103.9037,103.9037,103.9037,103.9037,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
406,9.0,data9,Access to green space,E06000032,Luton,100.7916,100.7916,100.7916,100.7916,100.7916,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
420,9.0,data9,Access to green space,E06000033,Southend-on-Sea,99.87686,99.87686,99.87686,99.87686,99.87686,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
434,9.0,data9,Access to green space,E06000034,Thurrock,96.87628,96.87628,96.87628,96.87628,96.87628,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
448,9.0,data9,Access to green space,E06000035,Medway,105.5609,105.5609,105.5609,105.5609,105.5609,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
462,9.0,data9,Access to green space,E06000036,Bracknell Forest,102.5207,102.5207,102.5207,102.5207,102.5207,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
476,9.0,data9,Access to green space,E06000037,West Berkshire,96.62097,96.62097,96.62097,96.62097,96.62097,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
490,9.0,data9,Access to green space,E06000038,Reading,100.0028,100.0028,100.0028,100.0028,100.0028,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
504,9.0,data9,Access to green space,E06000039,Slough,95.68024,95.68024,95.68024,95.68024,95.68024,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
518,9.0,data9,Access to green space,E06000040,Windsor and Maidenhead,100.2059,100.2059,100.2059,100.2059,100.2059,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
532,9.0,data9,Access to green space,E06000041,Wokingham,103.7271,103.7271,103.7271,103.7271,103.7271,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
546,9.0,data9,Access to green space,E06000042,Milton Keynes,100.144,100.144,100.144,100.144,100.144,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
560,9.0,data9,Access to green space,E06000043,Brighton and Hove,100.6668,100.6668,100.6668,100.6668,100.6668,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
574,9.0,data9,Access to green space,E06000044,Portsmouth,101.0961,101.0961,101.0961,101.0961,101.0961,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
588,9.0,data9,Access to green space,E06000045,Southampton,98.1957,98.1957,98.1957,98.1957,98.1957,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
602,9.0,data9,Access to green space,E06000046,Isle of Wight,101.0626,101.0626,101.0626,101.0626,101.0626,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
616,9.0,data9,Access to green space,E06000047,County Durham,102.5154,102.5154,102.5154,102.5154,102.5154,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
630,9.0,data9,Access to green space,E06000049,Cheshire East,99.83911,99.83911,99.83911,99.83911,99.83911,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
644,9.0,data9,Access to green space,E06000050,Cheshire West and Chester,101.3931,101.3931,101.3931,101.3931,101.3931,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
658,9.0,data9,Access to green space,E06000051,Shropshire,90.04931,90.04931,90.04931,90.04931,90.04931,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
672,9.0,data9,Access to green space,E06000052,Cornwall,93.55789,93.55418,93.5393,93.53397,93.52916,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
686,9.0,data9,Access to green space,E06000054,Wiltshire,96.50095,96.50095,96.50095,96.50095,96.50095,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
700,9.0,data9,Access to green space,E06000055,Bedford,101.1508,101.1508,101.1508,101.1508,101.1508,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
714,9.0,data9,Access to green space,E06000056,Central Bedfordshire,95.46653,95.46653,95.46653,95.46653,95.46653,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
728,9.0,data9,Access to green space,E06000057,Northumberland,98.66655,98.66655,98.66655,98.66655,98.66655,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
742,9.0,data9,Access to green space,E06000058,"Bournemouth, Christchurch and Poole",101.4158,101.4158,101.4158,101.4158,101.4158,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
756,9.0,data9,Access to green space,E06000059,Dorset,96.19212,96.19212,96.19212,96.19212,96.19212,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
770,9.0,data9,Access to green space,E06000060,Buckinghamshire,100.2231,100.2231,100.2231,100.2231,100.2231,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
784,9.0,data9,Access to green space,E06000061,North Northamptonshire,101.1,101.1045,101.1112,101.1181,101.1293,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
798,9.0,data9,Access to green space,E06000062,West Northamptonshire,96.41105,96.41391,96.38967,96.35155,96.31032,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
812,9.0,data9,Access to green space,E07000008,Cambridge,94.47267,94.47267,94.47267,94.47267,94.47267,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
