,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
1,10.0,data10,Access to services,E06000001,Hartlepool,102.0629,102.344,102.28,102.2741,101.9366,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
15,10.0,data10,Access to services,E06000002,Middlesbrough,103.1776,102.7074,102.5309,102.5962,101.3229,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
29,10.0,data10,Access to services,E06000003,Redcar and Cleveland,98.70464,98.10506,98.24154,98.23986,98.17604,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
43,10.0,data10,Access to services,E06000004,Stockton-on-Tees,95.68822,95.77532,95.75785,95.75785,95.18192,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
57,10.0,data10,Access to services,E06000005,Darlington,95.58267,95.87383,95.91509,96.05662,95.7249,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
71,10.0,data10,Access to services,E06000006,Halton,100.991,101.4622,102.009,102.009,100.9932,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
85,10.0,data10,Access to services,E06000007,Warrington,100.8392,100.8405,100.8464,100.7846,101.0439,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
99,10.0,data10,Access to services,E06000008,Blackburn with Darwen,107.9084,108.0965,107.8062,107.7044,107.3889,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
113,10.0,data10,Access to services,E06000009,Blackpool,112.7304,112.815,112.3845,112.343,112.2401,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
127,10.0,data10,Access to services,E06000010,"Kingston upon Hull, City of",100.4203,100.3195,100.2479,100.1491,107.5596,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
141,10.0,data10,Access to services,E06000011,East Riding of Yorkshire,90.60214,90.32573,90.13946,90.06975,91.88604,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
155,10.0,data10,Access to services,E06000012,North East Lincolnshire,103.1027,103.0011,102.5893,102.6057,102.0694,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
169,10.0,data10,Access to services,E06000013,North Lincolnshire,93.96787,93.82634,93.70408,93.87943,93.89541,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
183,10.0,data10,Access to services,E06000014,York,102.8174,102.43,102.3483,101.7684,102.3965,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
197,10.0,data10,Access to services,E06000015,Derby,104.7713,104.9163,104.7861,104.8617,104.8032,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
