,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
2,5.0,data5,Behavioural risk factors,E06000001,Hartlepool,90.64145,91.62873,87.95013,85.24544,84.36729,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
16,5.0,data5,Behavioural risk factors,E06000002,Middlesbrough,87.60695,86.67743,88.57559,88.0905,86.37173,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
30,5.0,data5,Behavioural risk factors,E06000003,Redcar and Cleveland,99.38191,97.58944,97.95462,98.23412,98.27654,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
44,5.0,data5,Behavioural risk factors,E06000004,Stockton-on-Tees,92.74536,94.87257,95.42495,91.35057,97.64182,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
58,5.0,data5,Behavioural risk factors,E06000005,Darlington,97.96838,97.57075,94.28946,99.79543,97.68347,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
72,5.0,data5,Behavioural risk factors,E06000006,Halton,88.38736,91.08612,95.29355,92.63467,88.97804,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
86,5.0,data5,Behavioural risk factors,E06000007,Warrington,99.07548,101.8984,100.1581,95.78956,95.84999,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
100,5.0,data5,Behavioural risk factors,E06000008,Blackburn with Darwen,87.5712,88.96147,91.42605,87.03584,86.58353,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
114,5.0,data5,Behavioural risk factors,E06000009,Blackpool,84.62962,84.51381,83.85946,83.88326,86.22053,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
128,5.0,data5,Behavioural risk factors,E06000010,"Kingston upon Hull, City of",87.70332,85.14298,86.35084,84.19257,87.29755,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
142,5.0,data5,Behavioural risk factors,E06000011,East Riding of Yorkshire,105.0994,106.7501,101.4535,98.84678,104.8219,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
156,5.0,data5,Behavioural risk factors,E06000012,North East Lincolnshire,91.20261,93.81339,94.66437,87.19797,90.51777,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
170,5.0,data5,Behavioural risk factors,E06000013,North Lincolnshire,97.14149,96.52679,95.12683,95.38377,95.48595,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
184,5.0,data5,Behavioural risk factors,E06000014,York,103.7825,106.6639,111.5092,110.334,109.9941,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
198,5.0,data5,Behavioural risk factors,E06000015,Derby,99.78138,98.24236,98.71876,93.13762,95.20053,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
212,5.0,data5,Behavioural risk factors,E06000016,Leicester,86.7295,89.80601,92.88153,89.73687,89.29501,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
226,5.0,data5,Behavioural risk factors,E06000017,Rutland,112.4883,111.4312,110.5572,112.5132,111.9874,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
240,5.0,data5,Behavioural risk factors,E06000018,Nottingham,90.34797,92.5974,94.77473,95.29774,90.20049,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
254,5.0,data5,Behavioural risk factors,E06000019,"Herefordshire, County of",104.7617,108.6031,109.9271,107.2392,110.3426,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
268,5.0,data5,Behavioural risk factors,E06000020,Telford and Wrekin,98.37911,95.43002,93.44003,101.5194,96.94002,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
282,5.0,data5,Behavioural risk factors,E06000021,Stoke-on-Trent,87.10509,85.94973,86.92798,82.30473,85.04408,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
296,5.0,data5,Behavioural risk factors,E06000022,Bath and North East Somerset,106.4725,105.7537,114.1465,115.1073,108.8933,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
310,5.0,data5,Behavioural risk factors,E06000023,"Bristol, City of",105.3273,106.0965,111.188,105.9732,104.8032,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
324,5.0,data5,Behavioural risk factors,E06000024,North Somerset,106.1263,110.0219,111.3242,110.6023,103.8745,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
338,5.0,data5,Behavioural risk factors,E06000025,South Gloucestershire,107.7264,109.3382,108.2313,107.5836,103.744,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
