,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
6,12.0,data12,Economic and working conditions,E06000001,Hartlepool,97.04295,97.35873,96.40865,96.42276,93.99985,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
20,12.0,data12,Economic and working conditions,E06000002,Middlesbrough,93.91523,93.16429,93.65895,92.92052,91.35474,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
34,12.0,data12,Economic and working conditions,E06000003,Redcar and Cleveland,96.63631,95.61417,97.7757,98.18843,96.26898,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
48,12.0,data12,Economic and working conditions,E06000004,Stockton-on-Tees,98.32806,98.29347,98.84059,98.81945,98.2247,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
62,12.0,data12,Economic and working conditions,E06000005,Darlington,98.81402,99.29159,99.1589,100.8428,96.95052,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
76,12.0,data12,Economic and working conditions,E06000006,Halton,100.5068,101.1193,101.3361,101.9216,102.3959,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
90,12.0,data12,Economic and working conditions,E06000007,Warrington,103.431,104.611,103.969,103.9167,106.5816,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
104,12.0,data12,Economic and working conditions,E06000008,Blackburn with Darwen,92.91564,94.60039,93.41077,93.71563,93.24857,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
118,12.0,data12,Economic and working conditions,E06000009,Blackpool,97.24983,96.83262,96.56366,97.14136,98.97043,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
132,12.0,data12,Economic and working conditions,E06000010,"Kingston upon Hull, City of",93.20893,94.43383,94.29372,95.06301,94.86051,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
146,12.0,data12,Economic and working conditions,E06000011,East Riding of Yorkshire,101.9632,103.3525,103.7812,103.4578,103.9325,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
160,12.0,data12,Economic and working conditions,E06000012,North East Lincolnshire,95.29787,96.61208,97.15334,97.08911,97.52596,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
174,12.0,data12,Economic and working conditions,E06000013,North Lincolnshire,99.49636,99.08577,99.54638,97.79962,99.25198,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
188,12.0,data12,Economic and working conditions,E06000014,York,105.9462,107.2445,107.2909,106.385,107.4858,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
202,12.0,data12,Economic and working conditions,E06000015,Derby,96.73495,97.81818,98.43542,101.0222,101.2021,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
216,12.0,data12,Economic and working conditions,E06000016,Leicester,90.90107,91.46009,92.67804,94.00502,93.90259,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
230,12.0,data12,Economic and working conditions,E06000017,Rutland,110.4755,112.4604,112.0196,109.3785,111.9802,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
