,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
7,13.0,data13,Living conditions,E06000001,Hartlepool,105.2681,105.5806,106.0535,106.9591,107.5029,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
21,13.0,data13,Living conditions,E06000002,Middlesbrough,100.2872,101.0535,100.1193,98.77752,99.44846,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
35,13.0,data13,Living conditions,E06000003,Redcar and Cleveland,109.0318,109.7139,109.7299,109.7357,112.3249,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
49,13.0,data13,Living conditions,E06000004,Stockton-on-Tees,103.8786,103.5991,104.4075,104.0813,103.701,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
63,13.0,data13,Living conditions,E06000005,Darlington,107.152,105.6768,106.5048,106.3796,111.0016,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
77,13.0,data13,Living conditions,E06000006,Halton,104.5824,101.6589,102.9519,102.5775,101.3503,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
91,13.0,data13,Living conditions,E06000007,Warrington,104.5628,103.2536,104.9712,102.4561,102.8381,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
105,13.0,data13,Living conditions,E06000008,Blackburn with Darwen,103.8723,102.6049,104.208,100.9222,100.207,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
119,13.0,data13,Living conditions,E06000009,Blackpool,96.03659,99.00065,100.0356,99.69444,99.55269,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
133,13.0,data13,Living conditions,E06000010,"Kingston upon Hull, City of",92.7536,93.09389,93.19104,92.29419,93.51969,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
147,13.0,data13,Living conditions,E06000011,East Riding of Yorkshire,108.1809,109.9327,111.0346,110.5254,109.6136,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
