,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
8,1.0,data1,Mental health,E06000001,Hartlepool,103.4532,100.415,99.42041,95.47699,97.7974,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
22,1.0,data1,Mental health,E06000002,Middlesbrough,84.48023,84.73137,86.69449,83.68112,84.15198,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
36,1.0,data1,Mental health,E06000003,Redcar and Cleveland,95.4519,91.6659,95.17763,92.13182,88.40553,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
50,1.0,data1,Mental health,E06000004,Stockton-on-Tees,91.32897,94.28048,97.85862,95.10074,95.87198,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
64,1.0,data1,Mental health,E06000005,Darlington,94.36821,94.76322,93.33558,93.01569,93.31788,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
78,1.0,data1,Mental health,E06000006,Halton,94.94369,93.9069,93.80422,90.84674,86.52633,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
92,1.0,data1,Mental health,E06000007,Warrington,94.10415,96.40594,98.48968,99.39962,94.01221,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
106,1.0,data1,Mental health,E06000008,Blackburn with Darwen,94.1727,92.66179,94.22063,94.76941,96.99289,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
120,1.0,data1,Mental health,E06000009,Blackpool,78.62353,81.90684,81.09913,85.36899,82.18594,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
134,1.0,data1,Mental health,E06000010,"Kingston upon Hull, City of",97.16456,91.42816,92.3756,90.67172,90.29884,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
148,1.0,data1,Mental health,E06000011,East Riding of Yorkshire,108.512,105.2294,105.2128,101.7363,97.57535,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
162,1.0,data1,Mental health,E06000012,North East Lincolnshire,100.8216,104.4722,101.8273,99.87631,96.93277,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
176,1.0,data1,Mental health,E06000013,North Lincolnshire,105.183,106.835,107.6277,102.4524,97.92135,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
190,1.0,data1,Mental health,E06000014,York,91.03648,93.00097,92.91594,94.47624,95.42981,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
204,1.0,data1,Mental health,E06000015,Derby,95.86909,94.74742,98.40679,95.64395,96.42063,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
218,1.0,data1,Mental health,E06000016,Leicester,99.60815,97.58416,99.79354,103.3494,101.1274,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
232,1.0,data1,Mental health,E06000017,Rutland,118.3505,121.7392,113.1332,115.1402,115.7338,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
246,1.0,data1,Mental health,E06000018,Nottingham,93.08106,95.37234,94.91579,94.59779,90.26871,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
260,1.0,data1,Mental health,E06000019,"Herefordshire, County of",99.3018,99.42556,96.99965,97.16178,96.91755,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
274,1.0,data1,Mental health,E06000020,Telford and Wrekin,97.88458,98.98193,96.35559,96.05896,95.25274,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
288,1.0,data1,Mental health,E06000021,Stoke-on-Trent,91.30716,94.85933,94.92143,89.01218,88.26939,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
302,1.0,data1,Mental health,E06000022,Bath and North East Somerset,98.97915,99.13022,97.88183,95.6735,95.93915,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
316,1.0,data1,Mental health,E06000023,"Bristol, City of",89.23295,88.77828,90.80088,88.43707,87.33251,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
330,1.0,data1,Mental health,E06000024,North Somerset,98.05039,98.8919,95.45565,91.22737,92.45614,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
344,1.0,data1,Mental health,E06000025,South Gloucestershire,101.6864,102.7654,102.3575,98.54398,94.47225,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
358,1.0,data1,Mental health,E06000026,Plymouth,91.48791,90.6718,91.86704,90.49796,87.47689,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
372,1.0,data1,Mental health,E06000027,Torbay,84.79439,84.7021,82.77783,80.585,82.04879,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
386,1.0,data1,Mental health,E06000030,Swindon,94.64264,93.61705,93.92619,90.31587,92.80934,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
400,1.0,data1,Mental health,E06000031,Peterborough,98.31549,97.24977,96.65769,96.03643,95.39952,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
414,1.0,data1,Mental health,E06000032,Luton,104.6635,101.6092,102.7501,105.5173,104.5972,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
428,1.0,data1,Mental health,E06000033,Southend-on-Sea,101.4056,103.3201,102.8657,100.3396,96.38745,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
442,1.0,data1,Mental health,E06000034,Thurrock,108.809,105.8209,103.0558,103.1233,109.4543,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
456,1.0,data1,Mental health,E06000035,Medway,93.95702,96.43944,97.88196,98.32679,99.34492,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
470,1.0,data1,Mental health,E06000036,Bracknell Forest,103.9499,105.7864,103.0039,101.7719,101.915,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
484,1.0,data1,Mental health,E06000037,West Berkshire,108.6008,107.2604,103.8414,101.8759,100.9151,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
498,1.0,data1,Mental health,E06000038,Reading,93.72742,94.44937,96.93593,96.22525,94.95612,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
512,1.0,data1,Mental health,E06000039,Slough,102.2587,102.7237,105.6618,101.4737,106.9321,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
526,1.0,data1,Mental health,E06000040,Windsor and Maidenhead,108.8617,104.126,104.4261,101.8282,104.2565,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
540,1.0,data1,Mental health,E06000041,Wokingham,108.8602,108.7203,105.6659,106.3129,105.8161,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
554,1.0,data1,Mental health,E06000042,Milton Keynes,103.6376,106.9492,105.7068,105.2171,103.5046,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
568,1.0,data1,Mental health,E06000043,Brighton and Hove,84.37702,84.70247,85.87945,86.49089,86.10585,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
582,1.0,data1,Mental health,E06000044,Portsmouth,86.84061,88.89868,88.93512,86.05327,86.77312,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
596,1.0,data1,Mental health,E06000045,Southampton,83.25712,83.02162,85.28826,83.07623,83.18163,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
610,1.0,data1,Mental health,E06000046,Isle of Wight,94.78035,96.40253,97.39443,94.87516,93.80453,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
624,1.0,data1,Mental health,E06000047,County Durham,89.24514,92.68388,93.96791,91.78751,90.26544,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
638,1.0,data1,Mental health,E06000049,Cheshire East,99.5777,99.51521,102.1389,98.80981,97.86057,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
652,1.0,data1,Mental health,E06000050,Cheshire West and Chester,98.66925,98.29989,99.21477,99.58482,98.0334,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
666,1.0,data1,Mental health,E06000051,Shropshire,103.4068,106.7188,105.4994,102.642,100.3886,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
680,1.0,data1,Mental health,E06000052,Cornwall,90.37752,88.01867,89.10113,87.31569,90.46409,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
694,1.0,data1,Mental health,E06000054,Wiltshire,98.85807,97.80707,97.10349,95.63864,95.92839,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
708,1.0,data1,Mental health,E06000055,Bedford,106.7001,101.373,101.6562,96.05795,100.1094,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
722,1.0,data1,Mental health,E06000056,Central Bedfordshire,109.5087,105.8112,105.01,100.8735,100.108,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
736,1.0,data1,Mental health,E06000057,Northumberland,91.54049,92.78865,91.40638,86.25985,83.84381,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
750,1.0,data1,Mental health,E06000058,"Bournemouth, Christchurch and Poole",92.47245,92.46915,88.65691,86.00931,86.29507,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
764,1.0,data1,Mental health,E06000059,Dorset,95.3587,96.24845,93.02768,90.23887,88.95846,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
778,1.0,data1,Mental health,E06000060,Buckinghamshire,105.9024,108.0129,108.0007,105.056,102.7417,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
792,1.0,data1,Mental health,E06000061,North Northamptonshire,97.92021,94.70149,95.51224,94.7151,96.9687,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
806,1.0,data1,Mental health,E06000062,West Northamptonshire,98.70145,98.71176,98.66321,95.73742,93.5086,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
820,1.0,data1,Mental health,E07000008,Cambridge,96.57895,98.33203,96.14643,94.83378,89.40356,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
834,1.0,data1,Mental health,E07000009,East Cambridgeshire,105.9403,108.4557,102.9445,103.238,97.1982,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
848,1.0,data1,Mental health,E07000010,Fenland,92.48656,95.569,97.05937,97.60029,94.77403,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
862,1.0,data1,Mental health,E07000011,Huntingdonshire,100.2329,106.3423,108.9609,103.6522,101.6789,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
876,1.0,data1,Mental health,E07000012,South Cambridgeshire,101.7724,101.8945,100.5837,98.06359,96.35717,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
890,1.0,data1,Mental health,E07000026,Allerdale,108.6672,100.8108,102.049,98.35579,96.79005,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
904,1.0,data1,Mental health,E07000027,Barrow-in-Furness,92.56718,92.53448,91.99286,88.49313,88.21919,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
918,1.0,data1,Mental health,E07000028,Carlisle,100.5602,95.5282,94.53983,94.6239,97.53115,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
932,1.0,data1,Mental health,E07000029,Copeland,101.2545,97.73042,99.65865,99.08197,99.79995,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
946,1.0,data1,Mental health,E07000030,Eden,110.2068,108.7981,112.9697,113.2447,117.5647,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
960,1.0,data1,Mental health,E07000031,South Lakeland,105.1655,106.1711,110.09,105.6124,106.8488,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
974,1.0,data1,Mental health,E07000032,Amber Valley,98.83878,98.55563,102.6464,97.64082,97.80893,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
988,1.0,data1,Mental health,E07000033,Bolsover,94.09164,94.72275,95.32583,98.66645,95.85532,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1002,1.0,data1,Mental health,E07000034,Chesterfield,84.9544,83.69877,89.09564,88.50691,86.66164,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1016,1.0,data1,Mental health,E07000035,Derbyshire Dales,105.759,104.1673,106.6147,104.1677,102.105,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1030,1.0,data1,Mental health,E07000036,Erewash,99.72287,100.067,102.2443,101.389,98.95911,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1044,1.0,data1,Mental health,E07000037,High Peak,101.4114,103.4186,104.5925,102.6125,98.46167,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1058,1.0,data1,Mental health,E07000038,North East Derbyshire,100.2402,102.3931,102.2585,103.5688,99.3316,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1072,1.0,data1,Mental health,E07000039,South Derbyshire,106.613,102.1245,103.7429,101.196,103.077,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1086,1.0,data1,Mental health,E07000040,East Devon,99.17551,99.45379,102.2224,101.2883,97.82251,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1100,1.0,data1,Mental health,E07000041,Exeter,88.321,88.972,89.03841,86.09251,83.75867,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1114,1.0,data1,Mental health,E07000042,Mid Devon,105.7907,102.5646,103.2604,98.91658,93.78131,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1128,1.0,data1,Mental health,E07000043,North Devon,89.60068,87.17238,87.44413,89.4658,90.72612,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1142,1.0,data1,Mental health,E07000044,South Hams,102.6053,106.2381,102.2182,103.8439,102.962,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1156,1.0,data1,Mental health,E07000045,Teignbridge,97.43724,97.15828,95.07165,91.11903,90.42799,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1170,1.0,data1,Mental health,E07000046,Torridge,90.06413,85.12778,90.42408,89.25567,88.05244,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1184,1.0,data1,Mental health,E07000047,West Devon,104.8949,98.93352,98.29884,103.4535,95.78187,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1198,1.0,data1,Mental health,E07000061,Eastbourne,96.68428,95.75991,95.10002,93.12887,91.92382,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1212,1.0,data1,Mental health,E07000062,Hastings,88.31784,94.27523,89.29239,84.39358,81.88232,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1226,1.0,data1,Mental health,E07000063,Lewes,93.73718,96.1896,96.04522,91.95583,91.15917,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1240,1.0,data1,Mental health,E07000064,Rother,102.413,102.6657,96.15588,94.0565,94.43636,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1254,1.0,data1,Mental health,E07000065,Wealden,103.6063,100.4968,101.9519,101.4461,100.6131,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1268,1.0,data1,Mental health,E07000066,Basildon,109.1945,106.219,100.002,96.91079,97.28722,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
