,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
9,2.0,data2,Mortality,E06000001,Hartlepool,87.06176,84.98555,85.91994,88.50988,89.23927,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
23,2.0,data2,Mortality,E06000002,Middlesbrough,80.39994,77.27858,78.78385,78.2618,81.67494,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
37,2.0,data2,Mortality,E06000003,Redcar and Cleveland,93.55668,92.0289,91.64327,93.13887,92.89554,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
51,2.0,data2,Mortality,E06000004,Stockton-on-Tees,92.77189,91.75667,93.32601,93.42582,94.76687,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
65,2.0,data2,Mortality,E06000005,Darlington,93.37616,94.86024,97.41773,97.28854,96.3209,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
79,2.0,data2,Mortality,E06000006,Halton,89.93738,90.41174,89.79733,89.82681,91.87522,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
93,2.0,data2,Mortality,E06000007,Warrington,95.10663,96.50686,99.3665,100.4979,99.68285,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
107,2.0,data2,Mortality,E06000008,Blackburn with Darwen,83.09668,81.86777,82.62251,83.99133,84.85164,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
121,2.0,data2,Mortality,E06000009,Blackpool,71.69976,73.05715,71.533,73.18307,73.42938,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
135,2.0,data2,Mortality,E06000010,"Kingston upon Hull, City of",82.83002,82.0867,79.58124,80.98558,79.79687,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
149,2.0,data2,Mortality,E06000011,East Riding of Yorkshire,105.3875,106.0436,106.0978,107.8575,107.384,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
163,2.0,data2,Mortality,E06000012,North East Lincolnshire,93.55841,94.79159,90.59744,91.07778,90.14282,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
177,2.0,data2,Mortality,E06000013,North Lincolnshire,96.9267,97.59176,98.10923,97.94295,98.74175,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
191,2.0,data2,Mortality,E06000014,York,105.2833,106.5891,104.2043,101.6245,103.2798,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
205,2.0,data2,Mortality,E06000015,Derby,91.55736,91.55285,92.45842,93.20666,92.36538,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
219,2.0,data2,Mortality,E06000016,Leicester,88.1263,87.93239,86.88793,87.2849,89.01813,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
233,2.0,data2,Mortality,E06000017,Rutland,108.8471,111.0744,116.9861,120.9684,118.4995,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
247,2.0,data2,Mortality,E06000018,Nottingham,83.03417,82.5657,84.67433,85.82004,84.45186,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
261,2.0,data2,Mortality,E06000019,"Herefordshire, County of",105.6109,101.804,101.7028,101.4911,102.8618,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
275,2.0,data2,Mortality,E06000020,Telford and Wrekin,90.53181,94.51137,93.97306,94.73908,94.37629,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
289,2.0,data2,Mortality,E06000021,Stoke-on-Trent,80.89227,81.41076,80.82152,79.5839,79.84115,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
303,2.0,data2,Mortality,E06000022,Bath and North East Somerset,109.9627,109.7096,109.3452,112.2488,113.4332,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
317,2.0,data2,Mortality,E06000023,"Bristol, City of",96.70659,97.46121,97.41958,96.80335,98.07731,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
331,2.0,data2,Mortality,E06000024,North Somerset,104.0852,104.6759,105.7658,107.9786,110.0448,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
345,2.0,data2,Mortality,E06000025,South Gloucestershire,109.5058,110.4163,109.7355,109.9556,111.4554,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
359,2.0,data2,Mortality,E06000026,Plymouth,96.14097,99.4936,97.79607,97.54504,96.21482,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
373,2.0,data2,Mortality,E06000027,Torbay,98.65601,97.13371,98.27279,96.11793,99.20003,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
387,2.0,data2,Mortality,E06000030,Swindon,101.0048,102.1611,102.062,103.5745,104.0287,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
401,2.0,data2,Mortality,E06000031,Peterborough,95.8597,96.05918,94.68831,92.98533,94.04562,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
415,2.0,data2,Mortality,E06000032,Luton,93.07018,91.48885,91.64878,92.26382,94.65037,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
429,2.0,data2,Mortality,E06000033,Southend-on-Sea,97.21135,98.72447,98.18557,99.50856,100.0952,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
443,2.0,data2,Mortality,E06000034,Thurrock,98.95647,100.0647,98.74198,100.1549,99.28532,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
457,2.0,data2,Mortality,E06000035,Medway,95.34692,95.5088,97.48776,98.86022,98.78722,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
471,2.0,data2,Mortality,E06000036,Bracknell Forest,112.7498,114.2334,111.0426,112.2033,112.4218,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
485,2.0,data2,Mortality,E06000037,West Berkshire,109.2005,108.6912,107.9283,109.6653,112.9401,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
499,2.0,data2,Mortality,E06000038,Reading,98.39247,98.70209,99.36207,98.86399,98.27793,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
513,2.0,data2,Mortality,E06000039,Slough,94.3172,92.82606,91.34003,91.66787,95.72193,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
527,2.0,data2,Mortality,E06000040,Windsor and Maidenhead,110.1494,110.1736,110.5163,110.1441,113.4022,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
541,2.0,data2,Mortality,E06000041,Wokingham,111.3485,112.028,112.8704,114.5782,115.0584,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
555,2.0,data2,Mortality,E06000042,Milton Keynes,97.47407,98.70643,98.64109,97.70956,100.4672,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
569,2.0,data2,Mortality,E06000043,Brighton and Hove,99.78171,100.2877,99.49057,98.14535,99.65761,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
583,2.0,data2,Mortality,E06000044,Portsmouth,93.77455,94.55275,94.73013,94.04867,92.91163,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
597,2.0,data2,Mortality,E06000045,Southampton,95.6656,95.28535,93.35982,93.69556,93.19925,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
611,2.0,data2,Mortality,E06000046,Isle of Wight,104.8699,103.7068,104.1144,102.1254,101.3088,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
625,2.0,data2,Mortality,E06000047,County Durham,92.69445,91.44153,92.77553,93.50298,95.04595,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
639,2.0,data2,Mortality,E06000049,Cheshire East,103.2128,104.1853,105.4957,105.7402,106.1192,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
653,2.0,data2,Mortality,E06000050,Cheshire West and Chester,102.4107,100.8938,102.0944,103.0595,104.0608,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
667,2.0,data2,Mortality,E06000051,Shropshire,106.2328,106.5223,104.2294,104.2251,104.3423,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
681,2.0,data2,Mortality,E06000052,Cornwall,102.5884,103.2812,103.543,102.9153,104.0899,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
695,2.0,data2,Mortality,E06000054,Wiltshire,107.2609,109.3812,109.2469,109.6624,110.662,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
709,2.0,data2,Mortality,E06000055,Bedford,102.1954,102.2571,101.5494,101.6477,100.7152,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
723,2.0,data2,Mortality,E06000056,Central Bedfordshire,110.4109,110.6553,111.0231,108.3458,108.8269,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
737,2.0,data2,Mortality,E06000057,Northumberland,100.439,100.2044,102.1616,102.0604,101.5961,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
751,2.0,data2,Mortality,E06000058,"Bournemouth, Christchurch and Poole",105.3555,105.4783,104.3032,103.9098,104.5924,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
765,2.0,data2,Mortality,E06000059,Dorset,109.5129,108.8723,108.1914,108.7564,112.1153,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
779,2.0,data2,Mortality,E06000060,Buckinghamshire,111.8548,112.3672,111.2715,111.5436,112.4745,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
793,2.0,data2,Mortality,E06000061,North Northamptonshire,97.50628,97.54115,95.6141,96.96071,97.9313,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
807,2.0,data2,Mortality,E06000062,West Northamptonshire,100.4069,100.6674,101.1316,100.7593,101.3351,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
821,2.0,data2,Mortality,E07000008,Cambridge,104.497,104.7827,104.5464,104.109,105.2245,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
835,2.0,data2,Mortality,E07000009,East Cambridgeshire,115.0163,113.9781,113.4862,110.9367,109.1827,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
849,2.0,data2,Mortality,E07000010,Fenland,96.41126,93.4627,95.11871,96.28972,97.16061,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
863,2.0,data2,Mortality,E07000011,Huntingdonshire,111.2581,113.6357,112.2894,111.1464,111.2967,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
877,2.0,data2,Mortality,E07000012,South Cambridgeshire,114.3146,113.763,114.2109,116.4823,118.987,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
891,2.0,data2,Mortality,E07000026,Allerdale,97.01914,95.10622,95.41419,96.86703,99.31704,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
905,2.0,data2,Mortality,E07000027,Barrow-in-Furness,86.71491,85.55916,89.70507,90.09828,91.76385,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
919,2.0,data2,Mortality,E07000028,Carlisle,97.78183,97.16781,96.25063,95.29473,98.46015,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
933,2.0,data2,Mortality,E07000029,Copeland,95.94586,93.78107,92.73894,90.08628,93.7632,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
947,2.0,data2,Mortality,E07000030,Eden,113.7472,111.1992,112.383,111.9514,113.8702,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
961,2.0,data2,Mortality,E07000031,South Lakeland,110.7074,112.9886,118.1632,114.5887,112.6437,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
975,2.0,data2,Mortality,E07000032,Amber Valley,96.97496,96.43963,98.08001,100.1673,101.3346,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
989,2.0,data2,Mortality,E07000033,Bolsover,91.11006,91.3982,96.65197,99.10965,96.24793,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1003,2.0,data2,Mortality,E07000034,Chesterfield,93.39541,93.50147,94.35311,96.98385,96.34209,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1017,2.0,data2,Mortality,E07000035,Derbyshire Dales,109.5505,106.2578,108.2266,109.7682,114.148,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1031,2.0,data2,Mortality,E07000036,Erewash,102.3676,103.0252,100.8125,99.67052,98.26696,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1045,2.0,data2,Mortality,E07000037,High Peak,102.0238,100.9105,105.0173,104.224,103.9411,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1059,2.0,data2,Mortality,E07000038,North East Derbyshire,104.7693,104.5071,106.1759,106.2606,105.7739,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1073,2.0,data2,Mortality,E07000039,South Derbyshire,99.98736,100.122,97.92094,99.80294,99.09767,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1087,2.0,data2,Mortality,E07000040,East Devon,110.1924,111.4036,112.1219,113.0365,112.617,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1101,2.0,data2,Mortality,E07000041,Exeter,102.1191,99.30063,100.2567,100.4614,99.50034,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1115,2.0,data2,Mortality,E07000042,Mid Devon,109.8629,109.4292,108.2383,109.266,107.4042,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1129,2.0,data2,Mortality,E07000043,North Devon,103.4876,102.8884,102.8737,104.1836,107.491,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1143,2.0,data2,Mortality,E07000044,South Hams,111.7905,111.0258,111.7648,112.389,114.2053,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1157,2.0,data2,Mortality,E07000045,Teignbridge,107.8677,107.5841,109.3879,109.5347,110.8912,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1171,2.0,data2,Mortality,E07000046,Torridge,104.4745,100.9137,98.52339,99.8729,100.8341,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1185,2.0,data2,Mortality,E07000047,West Devon,104.1424,101.5233,101.7238,102.1174,109.5646,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1199,2.0,data2,Mortality,E07000061,Eastbourne,102.0388,100.3801,101.2992,101.3786,97.03357,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1213,2.0,data2,Mortality,E07000062,Hastings,89.37041,88.34619,88.3094,88.44506,91.81236,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1227,2.0,data2,Mortality,E07000063,Lewes,112.0046,113.0454,113.0279,112.2008,107.8913,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1241,2.0,data2,Mortality,E07000064,Rother,103.7835,108.1895,106.8241,108.1499,107.1748,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1255,2.0,data2,Mortality,E07000065,Wealden,113.6425,113.0229,111.2006,109.8501,110.979,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1269,2.0,data2,Mortality,E07000066,Basildon,103.2008,103.6374,102.4729,101.2469,101.5699,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1283,2.0,data2,Mortality,E07000067,Braintree,106.3767,105.6802,104.0325,104.5463,104.6004,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1297,2.0,data2,Mortality,E07000068,Brentwood,108.4627,111.3185,113.3428,114.9198,112.4636,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1311,2.0,data2,Mortality,E07000069,Castle Point,100.4277,101.1068,105.2985,105.9256,109.0191,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1325,2.0,data2,Mortality,E07000070,Chelmsford,111.1358,110.6253,109.7912,110.4826,112.1484,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1339,2.0,data2,Mortality,E07000071,Colchester,103.3139,102.2309,103.1153,104.131,106.5261,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1353,2.0,data2,Mortality,E07000072,Epping Forest,107.9197,108.7367,112.5404,110.8089,109.5529,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
