,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
10,3.0,data3,Personal well-being,E06000001,Hartlepool,94.11678,96.40914,97.60389,98.43759,94.92927,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
24,3.0,data3,Personal well-being,E06000002,Middlesbrough,102.5889,98.46575,98.10325,101.0427,93.52311,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
38,3.0,data3,Personal well-being,E06000003,Redcar and Cleveland,98.4411,98.46507,104.9872,104.3817,101.0823,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
52,3.0,data3,Personal well-being,E06000004,Stockton-on-Tees,100.2575,104.0776,106.3895,104.805,98.41003,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
66,3.0,data3,Personal well-being,E06000005,Darlington,102.2998,99.26756,103.4895,103.7746,102.9282,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
80,3.0,data3,Personal well-being,E06000006,Halton,97.54891,95.11303,99.59193,102.0239,97.78416,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
94,3.0,data3,Personal well-being,E06000007,Warrington,99.59025,107.1954,108.6286,107.3809,105.2882,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
108,3.0,data3,Personal well-being,E06000008,Blackburn with Darwen,97.65729,96.68104,106.5876,108.8889,108.6389,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
122,3.0,data3,Personal well-being,E06000009,Blackpool,94.35419,90.29126,92.31971,96.48763,93.43181,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
136,3.0,data3,Personal well-being,E06000010,"Kingston upon Hull, City of",90.39946,94.76003,100.8245,98.49791,92.6136,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
150,3.0,data3,Personal well-being,E06000011,East Riding of Yorkshire,109.126,113.7158,108.988,112.8785,112.2376,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
164,3.0,data3,Personal well-being,E06000012,North East Lincolnshire,102.2696,101.7278,103.8474,103.3125,106.4665,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
178,3.0,data3,Personal well-being,E06000013,North Lincolnshire,98.91266,105.3281,103.7005,97.42004,100.7193,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
192,3.0,data3,Personal well-being,E06000014,York,101.5988,102.7823,97.27801,97.20106,102.149,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
206,3.0,data3,Personal well-being,E06000015,Derby,93.63333,97.49876,99.65053,107.5593,101.6553,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
220,3.0,data3,Personal well-being,E06000016,Leicester,89.97173,94.92004,86.85894,104.7141,101.8156,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
234,3.0,data3,Personal well-being,E06000017,Rutland,106.9839,111.0318,108.2429,107.3386,105.7631,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
248,3.0,data3,Personal well-being,E06000018,Nottingham,90.29425,87.08648,88.46433,89.81387,82.5338,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
262,3.0,data3,Personal well-being,E06000019,"Herefordshire, County of",104.0953,105.6134,111.0782,110.8781,104.4879,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
276,3.0,data3,Personal well-being,E06000020,Telford and Wrekin,98.1694,102.8885,101.3727,102.1706,93.05237,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
