,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
12,6.0,data6,Physiological risk factors,E06000001,Hartlepool,93.88021,90.99305,91.9009,83.05693,84.68559,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
26,6.0,data6,Physiological risk factors,E06000002,Middlesbrough,89.59623,82.68649,92.47377,89.27346,90.26526,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
40,6.0,data6,Physiological risk factors,E06000003,Redcar and Cleveland,92.76338,92.76912,92.48279,89.02933,91.91298,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
54,6.0,data6,Physiological risk factors,E06000004,Stockton-on-Tees,95.29251,95.88335,90.28472,90.84328,97.01034,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
68,6.0,data6,Physiological risk factors,E06000005,Darlington,97.88153,93.76889,97.8418,97.53168,95.92655,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
82,6.0,data6,Physiological risk factors,E06000006,Halton,96.54696,92.39402,92.69405,91.20445,91.17348,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
96,6.0,data6,Physiological risk factors,E06000007,Warrington,103.9864,99.88607,104.0219,97.02266,98.73877,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
110,6.0,data6,Physiological risk factors,E06000008,Blackburn with Darwen,98.74249,92.30291,90.16343,93.95224,90.57068,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
124,6.0,data6,Physiological risk factors,E06000009,Blackpool,90.68471,87.23246,88.94998,91.14791,87.58085,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
138,6.0,data6,Physiological risk factors,E06000010,"Kingston upon Hull, City of",91.74059,89.81238,89.76286,86.01514,89.72327,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
152,6.0,data6,Physiological risk factors,E06000011,East Riding of Yorkshire,99.89108,97.46387,102.0963,110.7335,103.7981,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
166,6.0,data6,Physiological risk factors,E06000012,North East Lincolnshire,96.97158,91.51562,94.44832,94.44086,96.03171,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
180,6.0,data6,Physiological risk factors,E06000013,North Lincolnshire,99.98951,96.29869,94.58668,92.55628,96.97734,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
194,6.0,data6,Physiological risk factors,E06000014,York,109.4417,104.5932,105.5687,100.069,103.2382,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
208,6.0,data6,Physiological risk factors,E06000015,Derby,96.5725,95.55005,93.03279,93.90454,92.71952,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
222,6.0,data6,Physiological risk factors,E06000016,Leicester,92.32138,89.91796,92.11529,93.05817,90.96078,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
236,6.0,data6,Physiological risk factors,E06000017,Rutland,115.5153,106.0291,110.0526,114.9396,101.1119,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
250,6.0,data6,Physiological risk factors,E06000018,Nottingham,90.97459,90.34198,90.81617,86.09792,92.44395,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
264,6.0,data6,Physiological risk factors,E06000019,"Herefordshire, County of",100.4097,102.5969,100.6733,98.425,99.95965,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
278,6.0,data6,Physiological risk factors,E06000020,Telford and Wrekin,96.00097,91.6473,94.88391,95.34126,91.76619,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
292,6.0,data6,Physiological risk factors,E06000021,Stoke-on-Trent,87.18516,87.32378,89.11975,91.14072,85.70731,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands
306,6.0,data6,Physiological risk factors,E06000022,Bath and North East Somerset,105.4486,105.7992,105.742,110.6247,110.5391,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
320,6.0,data6,Physiological risk factors,E06000023,"Bristol, City of",95.04119,97.27611,98.83893,100.4204,100.295,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
334,6.0,data6,Physiological risk factors,E06000024,North Somerset,99.23687,102.836,103.6696,105.1201,106.1839,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
348,6.0,data6,Physiological risk factors,E06000025,South Gloucestershire,106.8883,107.5606,107.8858,105.6731,106.5893,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
362,6.0,data6,Physiological risk factors,E06000026,Plymouth,98.16841,95.81786,94.39081,95.28044,93.39873,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
376,6.0,data6,Physiological risk factors,E06000027,Torbay,98.58953,101.7411,99.16516,98.24086,97.2107,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
390,6.0,data6,Physiological risk factors,E06000030,Swindon,95.69567,97.80303,96.5509,98.09281,99.60838,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
404,6.0,data6,Physiological risk factors,E06000031,Peterborough,101.3252,96.69787,96.72893,97.3224,93.12735,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
418,6.0,data6,Physiological risk factors,E06000032,Luton,93.31154,89.98717,89.00299,91.96798,88.15435,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
432,6.0,data6,Physiological risk factors,E06000033,Southend-on-Sea,104.7508,102.5931,102.9123,100.0442,100.8618,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
446,6.0,data6,Physiological risk factors,E06000034,Thurrock,96.78408,95.92864,97.06007,95.19513,93.1425,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
460,6.0,data6,Physiological risk factors,E06000035,Medway,98.26742,98.18461,95.81719,95.99645,91.51193,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
