,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
13,8.0,data8,Protective measures,E06000001,Hartlepool,100.4907,100.6043,100.516,99.65971,101.9577,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
27,8.0,data8,Protective measures,E06000002,Middlesbrough,98.53607,98.61834,97.09225,96.18166,96.85456,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
41,8.0,data8,Protective measures,E06000003,Redcar and Cleveland,107.8203,107.615,106.3761,106.3712,104.2402,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
55,8.0,data8,Protective measures,E06000004,Stockton-on-Tees,107.076,107.1576,105.4103,105.7802,105.97,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
69,8.0,data8,Protective measures,E06000005,Darlington,104.8167,104.2184,103.3655,102.4722,104.4876,,,,,,,,,,,,,,,,,,,,,,E12000001,North East
83,8.0,data8,Protective measures,E06000006,Halton,100.1153,100.1401,99.66973,97.69682,99.20723,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
97,8.0,data8,Protective measures,E06000007,Warrington,107.0165,105.6694,105.6564,104.8499,106.2821,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
111,8.0,data8,Protective measures,E06000008,Blackburn with Darwen,91.18668,91.26139,93.22562,96.23459,98.36689,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
125,8.0,data8,Protective measures,E06000009,Blackpool,92.14711,89.80068,89.52336,91.21738,92.48807,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
139,8.0,data8,Protective measures,E06000010,"Kingston upon Hull, City of",98.44444,97.43415,96.81466,96.55361,96.86924,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
153,8.0,data8,Protective measures,E06000011,East Riding of Yorkshire,111.2338,111.3088,111.6565,111.3329,113.6298,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
167,8.0,data8,Protective measures,E06000012,North East Lincolnshire,108.1107,105.4884,104.3301,105.1229,104.34,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber
