,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,RGN21CD,RGN21NM
2853,9,data9,Access to green space,E06000001,Hartlepool,101.54322320308677,101.54322320308677,101.54322320308677,101.54322320308677,101.54322320308677,,,,,,,,,,,E12000001,North East
2854,9,data9,Access to green space,E06000002,Middlesbrough,102.63846087294337,102.63846087294337,102.63846087294337,102.63846087294337,102.63846087294337,,,,,,,,,,,E12000001,North East
2855,9,data9,Access to green space,E06000003,Redcar and Cleveland,102.89802036909872,102.89802036909872,102.89802036909872,102.89802036909872,102.89802036909872,,,,,,,,,,,E12000001,North East
2856,9,data9,Access to green space,E06000004,Stockton-on-Tees,103.00141667911831,103.00141667911831,103.00141667911831,103.00141667911831,103.00141667911831,,,,,,,,,,,E12000001,North East
2857,9,data9,Access to green space,E06000005,Darlington,104.42032465153696,104.42032465153696,104.42032465153696,104.42032465153696,104.42032465153696,,,,,,,,,,,E12000001,North East
2858,9,data9,Access to green space,E06000006,Halton,100.83271866441697,100.83271866441697,100.83271866441697,100.83271866441697,100.83271866441697,,,,,,,,,,,E12000002,North West
2859,9,data9,Access to green space,E06000007,Warrington,99.14104000026578,99.14104000026578,99.14104000026578,99.14104000026578,99.14104000026578,,,,,,,,,,,E12000002,North West
2860,9,data9,Access to green space,E06000008,Blackburn with Darwen,102.75420313929365,102.75420313929365,102.75420313929365,102.75420313929365,102.75420313929365,,,,,,,,,,,E12000002,North West
2861,9,data9,Access to green space,E06000009,Blackpool,99.09381847583884,99.09381847583884,99.09381847583884,99.09381847583884,99.09381847583884,,,,,,,,,,,E12000002,North West
2862,9,data9,Access to green space,E06000010,"Kingston upon Hull, City of",100.16276818356147,100.16276818356147,100.16276818356147,100.16276818356147,100.16276818356147,,,,,,,,,,,E12000003,Yorkshire and The Humber
2863,9,data9,Access to green space,E06000011,East Riding of Yorkshire,107.55580325759894,107.55580325759894,107.55580325759894,107.55580325759894,107.55580325759894,,,,,,,,,,,E12000003,Yorkshire and The Humber
2864,9,data9,Access to green space,E06000012,North East Lincolnshire,109.52959544516715,109.52959544516715,109.52959544516715,109.52959544516715,109.52959544516715,,,,,,,,,,,E12000003,Yorkshire and The Humber
2865,9,data9,Access to green space,E06000013,North Lincolnshire,110.69782872897038,110.69782872897038,110.69782872897038,110.69782872897038,110.69782872897038,,,,,,,,,,,E12000003,Yorkshire and The Humber
2866,9,data9,Access to green space,E06000014,York,100.89731547874055,100.89731547874055,100.89731547874055,100.89731547874055,100.89731547874055,,,,,,,,,,,E12000003,Yorkshire and The Humber
2867,9,data9,Access to green space,E06000015,Derby,97.5399717286399,97.5399717286399,97.5399717286399,97.5399717286399,97.5399717286399,,,,,,,,,,,E12000004,East Midlands
2868,9,data9,Access to green space,E06000016,Leicester,91.57638270454294,91.57638270454294,91.57638270454294,91.57638270454294,91.57638270454294,,,,,,,,,,,E12000004,East Midlands
2869,9,data9,Access to green space,E06000017,Rutland,110.40565578707319,110.40565578707319,110.40565578707319,110.40565578707319,110.40565578707319,,,,,,,,,,,E12000004,East Midlands
2870,9,data9,Access to green space,E06000018,Nottingham,89.36148527500654,89.36148527500654,89.36148527500654,89.36148527500654,89.36148527500654,,,,,,,,,,,E12000004,East Midlands
2871,9,data9,Access to green space,E06000019,"Herefordshire, County of",101.27172988730746,101.27172988730746,101.27172988730746,101.27172988730746,101.27172988730746,,,,,,,,,,,E12000005,West Midlands
2872,9,data9,Access to green space,E06000020,Telford and Wrekin,97.20964702145488,97.20964702145488,97.20964702145488,97.20964702145488,97.20964702145488,,,,,,,,,,,E12000005,West Midlands
2873,9,data9,Access to green space,E06000021,Stoke-on-Trent,99.29660319819195,99.29660319819195,99.29660319819195,99.29660319819195,99.29660319819195,,,,,,,,,,,E12000005,West Midlands
2874,9,data9,Access to green space,E06000022,Bath and North East Somerset,100.7760688412298,100.7760688412298,100.7760688412298,100.7760688412298,100.7760688412298,,,,,,,,,,,E12000009,South West
2875,9,data9,Access to green space,E06000023,"Bristol, City of",89.40222348036612,89.40222348036612,89.40222348036612,89.40222348036612,89.40222348036612,,,,,,,,,,,E12000009,South West
2876,9,data9,Access to green space,E06000024,North Somerset,104.70904106617736,104.70904106617736,104.70904106617736,104.70904106617736,104.70904106617736,,,,,,,,,,,E12000009,South West
2877,9,data9,Access to green space,E06000025,South Gloucestershire,101.927687050585,101.927687050585,101.927687050585,101.927687050585,101.927687050585,,,,,,,,,,,E12000009,South West
2878,9,data9,Access to green space,E06000026,Plymouth,98.81345828870462,98.81345828870462,98.81345828870462,98.81345828870462,98.81345828870462,,,,,,,,,,,E12000009,South West
2879,9,data9,Access to green space,E06000027,Torbay,96.17667216229455,96.17667216229455,96.17667216229455,96.17667216229455,96.17667216229455,,,,,,,,,,,E12000009,South West
2880,9,data9,Access to green space,E06000030,Swindon,100.50632662411645,100.50632662411645,100.50632662411645,100.50632662411645,100.50632662411645,,,,,,,,,,,E12000009,South West
