,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,RGN21CD,RGN21NM
1585,5,data5,Behavioural risk factors,E06000001,Hartlepool,104.49417547337191,103.67327905257854,102.02923338136492,104.67128522713962,103.40520885341896,,,,,,,,,,,E12000001,North East
1586,5,data5,Behavioural risk factors,E06000002,Middlesbrough,102.26723586045874,102.18316766047955,105.72896008406195,104.28399462206357,107.00035002299101,,,,,,,,,,,E12000001,North East
1587,5,data5,Behavioural risk factors,E06000003,Redcar and Cleveland,100.29443844397785,101.49784379989312,98.26790315542765,97.0218085596128,99.755888551756,,,,,,,,,,,E12000001,North East
1588,5,data5,Behavioural risk factors,E06000004,Stockton-on-Tees,101.59995532129238,99.19918033977287,101.26849571452887,100.41990214741107,98.11920920764845,,,,,,,,,,,E12000001,North East
1589,5,data5,Behavioural risk factors,E06000005,Darlington,102.45559212929545,102.22767507863757,99.17804206048622,95.58436761642787,99.74685729057977,,,,,,,,,,,E12000001,North East
1590,5,data5,Behavioural risk factors,E06000006,Halton,103.34022164315643,100.23896626564863,101.8861881443241,99.40634589123353,106.08771101432383,,,,,,,,,,,E12000002,North West
1591,5,data5,Behavioural risk factors,E06000007,Warrington,99.48377314792754,97.97945907099519,99.62528513020266,94.52176884699573,98.09964527004144,,,,,,,,,,,E12000002,North West
1592,5,data5,Behavioural risk factors,E06000008,Blackburn with Darwen,102.89465942824465,100.9447044926764,104.09575275905428,96.67490479362432,99.23400867510479,,,,,,,,,,,E12000002,North West
1593,5,data5,Behavioural risk factors,E06000009,Blackpool,108.67558299467078,107.20524342458857,109.5553099923269,103.3982174930141,107.8611626968923,,,,,,,,,,,E12000002,North West
1594,5,data5,Behavioural risk factors,E06000010,"Kingston upon Hull, City of",102.2814083540173,104.3057262206438,103.12567983048307,100.42422643713614,104.35199499184591,,,,,,,,,,,E12000003,Yorkshire and The Humber
1595,5,data5,Behavioural risk factors,E06000011,East Riding of Yorkshire,99.63018478338087,97.9605149718707,96.66351081440628,96.07030295054481,97.92623846392611,,,,,,,,,,,E12000003,Yorkshire and The Humber
1596,5,data5,Behavioural risk factors,E06000012,North East Lincolnshire,102.50391568537343,100.22023523547547,103.03823454824187,100.64997286569555,103.00273874283106,,,,,,,,,,,E12000003,Yorkshire and The Humber
1597,5,data5,Behavioural risk factors,E06000013,North Lincolnshire,100.53377763877099,100.58912199143758,100.36670123360399,97.23102973042916,96.15173403344596,,,,,,,,,,,E12000003,Yorkshire and The Humber
1598,5,data5,Behavioural risk factors,E06000014,York,101.76671521810027,99.02296599600639,95.87893727443655,100.37143986711264,101.47345699322086,,,,,,,,,,,E12000003,Yorkshire and The Humber
1599,5,data5,Behavioural risk factors,E06000015,Derby,101.95469945394524,103.21929720411448,101.30412606577347,101.09504536235862,105.0459237998377,,,,,,,,,,,E12000004,East Midlands
1600,5,data5,Behavioural risk factors,E06000016,Leicester,101.56062341170336,98.7954684019386,98.33645590663785,100.02692391481173,99.6135377983069,,,,,,,,,,,E12000004,East Midlands
1601,5,data5,Behavioural risk factors,E06000017,Rutland,95.68187297851824,96.45116826125229,94.42160359889333,95.32535209115684,98.18796364280001,,,,,,,,,,,E12000004,East Midlands
