,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,RGN21CD,RGN21NM
1268,4,data4,Physical health conditions,E06000001,Hartlepool,113.41456552654154,107.38080002789395,109.5204908380396,120.82665262143462,118.48426959070609,,,,,,,,,,,E12000001,North East
1269,4,data4,Physical health conditions,E06000002,Middlesbrough,107.2389664703261,100.55208316853238,102.38397801532837,115.3760868218453,110.59560172895928,,,,,,,,,,,E12000001,North East
1270,4,data4,Physical health conditions,E06000003,Redcar and Cleveland,108.19660379436043,106.00167583699553,107.60261572255271,113.65557033078046,114.4596296712741,,,,,,,,,,,E12000001,North East
1271,4,data4,Physical health conditions,E06000004,Stockton-on-Tees,106.04545280214506,103.2948405058871,104.91614171869848,113.14180327384169,114.68606600593337,,,,,,,,,,,E12000001,North East
1272,4,data4,Physical health conditions,E06000005,Darlington,108.43709919043195,103.810964520305,101.55979237365587,109.7964375502512,106.4752417959363,,,,,,,,,,,E12000001,North East
1273,4,data4,Physical health conditions,E06000006,Halton,113.720850981607,109.09637262334523,109.17646965105466,115.24120911316456,118.6075638256351,,,,,,,,,,,E12000002,North West
1274,4,data4,Physical health conditions,E06000007,Warrington,102.4735580106739,100.13415775416868,98.72464482291583,106.19659863946393,106.9402387751492,,,,,,,,,,,E12000002,North West
1275,4,data4,Physical health conditions,E06000008,Blackburn with Darwen,107.5576713699464,99.33125375223243,113.14519381578192,108.38619584966457,112.18047961085732,,,,,,,,,,,E12000002,North West
1276,4,data4,Physical health conditions,E06000009,Blackpool,116.30688682098011,112.52042504354347,107.95476779430604,119.27268260600341,119.93300104487021,,,,,,,,,,,E12000002,North West
1277,4,data4,Physical health conditions,E06000010,"Kingston upon Hull, City of",101.89616595415308,101.56829920133806,104.34159267312641,111.3586734582151,108.34359291813742,,,,,,,,,,,E12000003,Yorkshire and The Humber
1278,4,data4,Physical health conditions,E06000011,East Riding of Yorkshire,105.76146101923534,102.56422650098445,103.61513775478065,112.90915555804175,112.4632852469612,,,,,,,,,,,E12000003,Yorkshire and The Humber
1279,4,data4,Physical health conditions,E06000012,North East Lincolnshire,109.56077677465508,106.42256686787401,107.36956355746375,111.8633877345752,106.926723875393,,,,,,,,,,,E12000003,Yorkshire and The Humber
1280,4,data4,Physical health conditions,E06000013,North Lincolnshire,104.68163953255971,101.65954604800791,100.24192825305362,110.67319847145657,112.58565444603221,,,,,,,,,,,E12000003,Yorkshire and The Humber
1281,4,data4,Physical health conditions,E06000014,York,94.15269285910789,90.48045489562912,95.00856779414492,104.44967121083396,98.74266564510411,,,,,,,,,,,E12000003,Yorkshire and The Humber
1282,4,data4,Physical health conditions,E06000015,Derby,102.34970913440358,95.8362463664771,104.63311344892998,109.10408747954042,107.74470781677483,,,,,,,,,,,E12000004,East Midlands
1283,4,data4,Physical health conditions,E06000016,Leicester,98.54770446643145,97.88999616488572,100.68201736262297,103.20125779457537,100.47065955820518,,,,,,,,,,,E12000004,East Midlands
1284,4,data4,Physical health conditions,E06000017,Rutland,110.01748838746566,96.9226419661268,101.63886511674275,108.32005298773853,104.4419289521504,,,,,,,,,,,E12000004,East Midlands
1285,4,data4,Physical health conditions,E06000018,Nottingham,100.05292588540344,99.32323800033076,96.8385205759038,102.23264399575066,101.583469723712,,,,,,,,,,,E12000004,East Midlands
1286,4,data4,Physical health conditions,E06000019,"Herefordshire, County of",99.7812115781086,99.22111708515264,98.74787791800216,106.94014077970142,108.71897413320758,,,,,,,,,,,E12000005,West Midlands
1287,4,data4,Physical health conditions,E06000020,Telford and Wrekin,103.0890016798367,103.92172648478875,102.58076815566423,108.88981235847427,103.75634424435809,,,,,,,,,,,E12000005,West Midlands
1288,4,data4,Physical health conditions,E06000021,Stoke-on-Trent,107.81628223175537,109.94292532270352,109.27581167748397,113.93968690602745,115.75657139459327,,,,,,,,,,,E12000005,West Midlands
1289,4,data4,Physical health conditions,E06000022,Bath and North East Somerset,96.28681566897687,92.63319560805691,96.94080240362098,98.32926717827647,94.7492879953367,,,,,,,,,,,E12000009,South West
1290,4,data4,Physical health conditions,E06000023,"Bristol, City of",96.12529964567052,93.76064159130708,94.95241175328621,98.3148175734292,97.87360240274585,,,,,,,,,,,E12000009,South West
1291,4,data4,Physical health conditions,E06000024,North Somerset,102.29149550850092,102.97328452393133,102.3918129751449,109.78071734386786,109.0893065386854,,,,,,,,,,,E12000009,South West
1292,4,data4,Physical health conditions,E06000025,South Gloucestershire,96.92136650978071,99.85157360555039,96.7120050359574,102.52929877601245,103.15668315841965,,,,,,,,,,,E12000009,South West
1293,4,data4,Physical health conditions,E06000026,Plymouth,101.9385852104883,99.04807040976007,102.54804415004682,109.84878852526403,114.88607674984338,,,,,,,,,,,E12000009,South West
1294,4,data4,Physical health conditions,E06000027,Torbay,105.19401949589232,106.24538985741135,111.88763558812788,117.5226027403426,117.59840564924218,,,,,,,,,,,E12000009,South West
1295,4,data4,Physical health conditions,E06000030,Swindon,100.4898901560238,97.97106978504915,97.00108969961896,99.35186536457039,102.26132817492787,,,,,,,,,,,E12000009,South West
1296,4,data4,Physical health conditions,E06000031,Peterborough,94.42938484334977,98.05995637354273,100.6631913886721,104.20516796560408,102.65822644459455,,,,,,,,,,,E12000006,East of England
1297,4,data4,Physical health conditions,E06000032,Luton,96.64643235722345,98.01416050652095,98.21411345050005,105.92165454144454,102.22040781005776,,,,,,,,,,,E12000006,East of England
1298,4,data4,Physical health conditions,E06000033,Southend-on-Sea,101.84555838416371,99.24289471195787,101.56196747446646,111.87681587737445,112.07340179922112,,,,,,,,,,,E12000006,East of England
