"","x"
"E06000001",103.5
"E06000002",84.5
"E06000003",95.5
"E06000004",91.3
"E06000005",94.4
"E06000006",94.9
"E06000007",94.1
"E06000008",94.2
"E06000009",78.6
"E06000010",97.2
"E06000011",108.5
"E06000012",100.8
"E06000013",105.2
"E06000014",91
"E06000015",95.9
"E06000016",99.6
"E06000017",118.4
"E06000018",93.1
"E06000019",99.3
"E06000020",97.9
"E06000021",91.3
"E06000022",99
"E06000023",89.2
"E06000024",98.1
"E06000025",101.7
"E06000026",91.5
"E06000027",84.8
"E06000030",94.6
"E06000031",98.3
"E06000032",104.7
"E06000033",101.4
"E06000034",108.8
"E06000035",94
"E06000036",103.9
"E06000037",108.6
"E06000038",93.7
"E06000039",102.3
"E06000040",108.9
"E06000041",108.9
"E06000042",103.6
"E06000043",84.4
"E06000044",86.8
"E06000045",83.3
"E06000046",94.8
"E06000047",89.2
"E06000049",99.6
"E06000050",98.7
"E06000051",103.4
"E06000052",90.4
"E06000054",98.9
"E06000055",106.7
"E06000056",109.5
"E06000057",91.5
"E06000058",92.5
"E06000059",95.4
"E06000060",105.9
"E06000061",97.9
"E06000062",98.7
"E07000008",96.6
"E07000009",105.9
"E07000010",92.5
"E07000011",100.2
"E07000012",101.8
"E07000026",108.7
"E07000027",92.6
"E07000028",100.6
"E07000029",101.3
"E07000030",110.2
"E07000031",105.2
"E07000032",98.8
"E07000033",94.1
"E07000034",85
"E07000035",105.8
"E07000036",99.7
"E07000037",101.4
"E07000038",100.2
"E07000039",106.6
"E07000040",99.2
"E07000041",88.3
"E07000042",105.8
"E07000043",89.6
"E07000044",102.6
"E07000045",97.4
"E07000046",90.1
"E07000047",104.9
"E07000061",96.7
"E07000062",88.3
"E07000063",93.7
"E07000064",102.4
"E07000065",103.6
"E07000066",109.2
"E07000067",98.6
"E07000068",117
"E07000069",111.7
"E07000070",107.1
"E07000071",92.5
"E07000072",113.7
"E07000073",101
"E07000074",110.9
"E07000075",109.7
"E07000076",87.5
"E07000077",106.2
"E07000078",97.7
"E07000079",105.2
"E07000080",98.7
"E07000081",92.1
"E07000082",98.4
"E07000083",103
"E07000084",101.9
"E07000085",104.7
"E07000086",111.2
"E07000087",104.3
"E07000088",95.7
"E07000089",109
"E07000090",93.7
"E07000091",100.1
"E07000092",97.7
"E07000093",101.4
"E07000094",106.6
"E07000095",110.2
"E07000096",109.3
"E07000098",110.3
"E07000099",108.9
"E07000102",117.9
"E07000103",113.3
"E07000105",102.5
"E07000106",94.1
"E07000107",97.9
"E07000108",101
"E07000109",98.2
"E07000110",97.7
"E07000111",107.3
"E07000112",92.9
"E07000113",93
"E07000114",92.8
"E07000115",101.9
"E07000116",100.6
"E07000117",95.6
"E07000118",107
"E07000119",100.9
"E07000120",93.9
"E07000121",95.1
"E07000122",99.8
"E07000123",96.5
"E07000124",108.6
"E07000125",103.3
"E07000126",101.9
"E07000127",104.3
"E07000128",98.3
"E07000129",108.3
"E07000130",108.5
"E07000131",111.6
"E07000132",109.3
"E07000133",111.7
"E07000134",106.5
"E07000135",108
"E07000136",97.9
"E07000137",96.1
"E07000138",88.8
"E07000139",108.1
"E07000140",108
"E07000141",107.8
"E07000142",103.5
"E07000143",102.6
"E07000144",100.7
"E07000145",94.4
"E07000146",96.6
"E07000147",100.3
"E07000148",79.7
"E07000149",103.3
"E07000163",113.4
"E07000164",104.4
"E07000165",104
"E07000166",113.9
"E07000167",110.6
"E07000168",96.8
"E07000169",103.9
"E07000170",101.3
"E07000171",101.8
"E07000172",106.6
"E07000173",105.1
"E07000174",99.4
"E07000175",105
"E07000176",109
"E07000177",100
"E07000178",89.5
"E07000179",104
"E07000180",104.3
"E07000181",103.3
"E07000187",95.7
"E07000188",99.9
"E07000189",97.4
"E07000192",107.7
"E07000193",102.9
"E07000194",103.5
"E07000195",99.5
"E07000196",108.7
"E07000197",96.6
"E07000198",105.6
"E07000199",105.1
"E07000200",111.2
"E07000202",95.7
"E07000203",108.9
"E07000207",105.9
"E07000208",106.7
"E07000209",105.9
"E07000210",100.9
"E07000211",102.3
"E07000212",104.2
"E07000213",100.9
"E07000214",100.3
"E07000215",107.9
"E07000216",107.8
"E07000217",106
"E07000218",110.2
"E07000219",94.8
"E07000220",102.2
"E07000221",101.4
"E07000222",96.8
"E07000223",94.2
"E07000224",96.4
"E07000225",96.1
"E07000226",97.5
"E07000227",99.2
"E07000228",100.3
